name,salary_min,salary_max,salary_currency,link,url
Senior Data Scientist (Recommender Systems),220000,300000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46476387?from=vacancy_search_list&query=python,https://hh.ru
Data science analytics,150000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46917676?from=vacancy_search_list&query=python,https://hh.ru
Data Analyst,4000,6500,USD,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46870106?from=vacancy_search_list&query=python,https://hh.ru
Middle-backend Python разработчик / программист,180000,200000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46861261?from=vacancy_search_list&query=python,https://hh.ru
Machine Learning Engineer (команда Поиска),,,,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46048820?from=vacancy_search_list&query=python,https://hh.ru
Senior ML engineer (ML/DS инженер),,,,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46344625?from=vacancy_search_list&query=python,https://hh.ru
Программист Python,20000,20000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46207091?from=vacancy_search_list&query=python,https://hh.ru
Junior python developer в научный отдел,,,,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46912526?from=vacancy_search_list&query=python,https://hh.ru
Junior Python Developer (Начинающий разработчик Python),30000,60000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46525324?from=vacancy_search_list&query=python,https://hh.ru
Junior Python разработчик,,,,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46770125?from=vacancy_search_list&query=python,https://hh.ru
Python developer / data engineer (Jun->Mid),120000,150000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46392030?from=vacancy_search_list&query=python,https://hh.ru
Разработчик Python \ Python Developer,150000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46563698?from=vacancy_search_list&query=python,https://hh.ru
Python разработчик (senior) (backend),,500000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/43941903?from=vacancy_search_list&query=python,https://hh.ru
Разработчик Python,130000,200000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46100136?from=vacancy_search_list&query=python,https://hh.ru
Разработчик Python,180000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46717683?from=vacancy_search_list&query=python,https://hh.ru
Middle QA Automation Engineer (Python),180000,250000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/43394113?from=vacancy_search_list&query=python,https://hh.ru
Python разработчик,250000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46314277?from=vacancy_search_list&query=python,https://hh.ru
Системный программист C/C++ - Python,200000,300000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/45728641?from=vacancy_search_list&query=python,https://hh.ru
Python developer,120000,160000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46903435?from=vacancy_search_list&query=python,https://hh.ru
Python Backend Developer (FastAPI),100000,250000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46451141?from=vacancy_search_list&query=python,https://hh.ru
Разработчик PYTHON,120000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46413968?from=vacancy_search_list&query=python,https://hh.ru
Middle Python developer (удалённо),130000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/44913973?from=vacancy_search_list&query=python,https://hh.ru
Junior Developer / Data Engineer,,,,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46760320?from=vacancy_search_list&query=python,https://hh.ru
Middle/Senior Python Django developer,110000,250000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46930931?from=vacancy_search_list&query=python,https://hh.ru
Python Middle Developer,120000,180000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/45357150?from=vacancy_search_list&query=python,https://hh.ru
Backend - разработчик на Python + Django (Python developer),100000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46777335?from=vacancy_search_list&query=python,https://hh.ru
Python developer / Junior ML engineer,,,,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46199599?from=vacancy_search_list&query=python,https://hh.ru
Senior Python Backend Developer,250000,350000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46154323?from=vacancy_search_list&query=python,https://hh.ru
Разработчик Python,,300000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46761707?from=vacancy_search_list&query=python,https://hh.ru
Team Lead Python/Django,300000,400000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/44433173?from=vacancy_search_list&query=python,https://hh.ru
"Разработчик автоматических тестов GUI (Python, Squish)",3000,,USD,https://petropavlovsk-kamchatskij.hh.ru/vacancy/45657026?from=vacancy_search_list&query=python,https://hh.ru
Backend-разработчик Python + Django (Middle/Senior),160000,220000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46393308?from=vacancy_search_list&query=python,https://hh.ru
Программист / Разработчик Python/Django (middle/senior),200000,350000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/44433545?from=vacancy_search_list&query=python,https://hh.ru
Middle Python Developer,160000,180000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46618136?from=vacancy_search_list&query=python,https://hh.ru
Backend-разработчик Python,120000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/45434650?from=vacancy_search_list&query=python,https://hh.ru
Python Developer (Marketplace/Geo Services),180000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46937451?from=vacancy_search_list&query=python,https://hh.ru
Middle python разработчик по направлению анализа медицинских изображений,120000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46917194?from=vacancy_search_list&query=python,https://hh.ru
Python (Django) developer,120000,180000,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46916041?from=vacancy_search_list&query=python,https://hh.ru
Python-разработчик,200000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/45835954?from=vacancy_search_list&query=python,https://hh.ru
Python-разработчик,150000,,руб.,https://petropavlovsk-kamchatskij.hh.ru/vacancy/46795568?from=vacancy_search_list&query=python,https://hh.ru
